"resultNumber","lemma","senseNumber","snippet"
"568","aardbei","2.0","aardbeiplant"
"569","aardbeiboom","1.0",""
"570","aardbeienbavarois","",""
"571","aardbeienbavaroise","",""
"572","aardbeiengelei","1.0",""
"573","aardbeienjam","1.0",""
"574","aardbeienmaan","1.0","volle maan in aardbeienseizoen"
"575","aardbeienpluk","0.0",""
"576","aardbeienteelt","0.0",""
"577","aardbeimaan","1.0","volle maan in aardbeienseizoen"
"578","aardbeiplant","1.0",""
"579","aardbeving","1.0",""
"580","aardbevingsdiplomatie","1.0","diplomatie door hulp bij een aardbeving"
"581","aardbevingsschade","1.0","schade door een aardbeving of aardbevingen"
"582","aardbewoner","1.0","mens"
"583","aardbol","1.0",""
"584","aarde","1.0",""
"585","aardebaan","",""
"586","aarder","1.0","harder"
"587","aarder","1.1","harder als voedsel"
"588","aardeweg","1.0",""
"589","aardewerkfabriek","1.0",""
"590","aardewerkfabrikant","0.0",""
"591","aardewerkindustrie","0.0",""
"592","aardgasafzet","0.0",""
"593","aardgasauto","1.0","auto die op aardgas rijdt"
"594","aardgasbaten","1.0",""
"595","aardgasbel","0.0",""
"596","aardgasboring","0.0",""
"597","aardgasbus","1.0","autobus die op aardgas rijdt"
"598","aardgasexport","0.0",""
"599","aardgasinkomsten","0.0",""
"600","aardgaskachel","0.0",""
"601","aardgasleiding","1.0",""
"602","aardgasmarkt","0.0",""
"603","aardgasmotor","0.0",""
"604","aardgasopbrengst","0.0",""
"605","aardgaspomp","1.0","pomp voor aardgas"
"606","aardgasprijs","1.0",""
"607","aardgasproductie","0.0",""
"608","aardgasreserve","1.0",""
"609","aardgasrotonde","1.0","verdeelcentrum voor aardgas"
"610","aardgastank","1.0","brandstoftank voor aardgas"
"611","aardgastank","2.0","opslagtank voor aardgas"
"612","aardgastanker","0.0",""
"613","aardgastankinstallatie","1.0","tankinstallatie voor aardgas"
"614","aardgastaxi","1.0","taxi die op aardgas rijdt"
"615","aardgasvoorraad","1.0",""
"616","aardgasvraag","0.0",""
"617","aardgaswet","1.0","wet m.b.t. aardgas"
"618","aardgaswinning","1.0",""
"619","aardgaswinst","0.0",""
"620","aardgeschiedenis","0.0",""
"621","aardhommel","1.0","inheemse hommel"
"622","aardhommel","1.1","gewone aardhommel"
"623","aardigheid","1.0",""
"624","aarding","1.0",""
"625","aardkluit","1.0",""
"626","aardkorst","1.0",""
"627","aardkrekel","1.0","groot rechtvleugelig insect"
"628","aardkromming","0.0",""
"629","aardkunde","0.0",""
"630","aardkundige","1.0",""
"631","aardleiding","0.0",""
"632","aardlekschakelaar","1.0",""
"633","aardmeetkunde","0.0",""
"634","aardmeting","0.0",""
"635","aardmuis","1.0","soort muis"
"636","aardnotenolie","0.0",""
"637","aardolie","1.0",""
"638","aardolie-industrie","0.0",""
"639","aardplaat","0.0",""
"640","aardrijkskunde","1.0",""
"641","aardrijkskundedocent","1.0","docent aardrijkskunde"
"642","aardrijkskundeleraar","1.0","leraar aardrijkskunde"
"643","aardrijkskundelerares","1.0","lerares aardrijkskunde"
"644","aardrijkskundeles","1.0",""
"645","aardrijkskundige","0.0",""
"646","aardschaduw","0.0",""
"647","aardschok","1.0",""
"648","aardschudding","0.0",""
"649","aardsheid","0.0",""
"650","aardslak","0.0",""
"651","aardspin","1.0","spin met een ondergrondse schuilplaats"
"652","aardstraling","0.0",""
"653","aardstroom","0.0",""
"654","aardverbinding","1.0",""
"655","aardverschuiving","1.0",""
